Pos	F0_freq	F60_freq
2245404	0.233333	0.97
4528622	0.00333333	0.0
5049466	0.393333	0.883333
6628840	0.43	0.99
7495139	0.03	0.0
8621469	0.443333	0.866667
8689736	0.0666667	0.283333
10711374	0.123333	0.453333
12660942	0.216667	0.873333
13448522	0.03	0.32
15005929	0.09	0.36
15727620	0.00333333	0.0
18316355	0.306667	0.99
18547865	0.02	0.0533333
19868639	0.0833333	0.0566667
22147473	0.126667	0.616667
22339426	0.01	0.556667
24339303	0.03	0.583333
25458768	0.0166667	0.116667
25794376	0.0833333	0.816667
25828495	0.0433333	0.34
27440095	0.00333333	0.966667
27536515	0.373333	1.0
30206453	0.186667	0.926667
30540332	0.0666667	0.366667
30651125	0.116667	0.613333
32780587	0.333333	0.64
33114896	0.0433333	0.143333
35499448	0.0233333	0.33
36733417	0.00666667	0.103333
36863533	0.0233333	0.643333
39430346	0.0833333	0.76
40375992	0.0433333	0.826667
40537949	0.113333	0.586667
41165431	0.113333	0.55
42195815	0.0966667	0.973333
43168208	0.0966667	0.77
43693383	0.123333	0.6
45379878	0.373333	0.9
45609340	0.47	0.996667
46173716	0.186667	0.766667
46866430	0.01	0.0
47048074	0.0233333	0.0
49220377	0.0133333	0.0
49613178	0.6	1.0
50752115	0.05	0.84
51507954	0.13	0.76
51822497	0.03	0.823333
52528589	0.446667	1.0
53303741	0.0233333	0.28
53790973	0.256667	0.686667
54026781	0.206667	0.29
54894929	0.386667	0.723333
55616136	0.57	0.963333
57009090	0.0266667	0.176667
57060100	0.0466667	0.31
58176785	0.136667	0.69
58460188	0.5	0.996667
58860012	0.02	0.163333
59703696	0.09	0.62
60519056	0.06	0.11
62857097	0.03	0.453333
63510033	0.0166667	0.61
66004696	0.0866667	0.0
66240084	0.19	0.913333
66859993	0.316667	0.966667
66937487	0.00666667	0.0
67630852	0.06	0.443333
69416938	0.0633333	0.113333
70451926	0.0566667	0.206667
71039110	0.0166667	0.496667
71321665	0.163333	0.653333
71772768	0.126667	0.886667
72264082	0.01	0.106667
72352365	0.0533333	0.346667
73796809	0.02	0.543333
74210131	0.2	0.57
74235260	0.0266667	0.72
77707206	0.01	0.0
79182171	0.123333	0.523333
79454494	0.13	0.576667
80494647	0.0533333	0.293333
80639915	0.01	0.263333
83251683	0.0666667	0.0
83588933	0.0266667	0.153333
84255528	0.576667	1.0
85765789	0.00666667	0.23
88248840	0.123333	0.556667
