Pos	F0_freq	F60_freq
1	0.233333	0.663333
2	0.00333333	0.0
3	0.393333	0.9
4	0.43	0.976667
5	0.03	0.02
6	0.443333	0.886667
7	0.0666667	0.0466667
8	0.123333	0.753333
9	0.216667	0.823333
10	0.03	0.0
11	0.09	0.0233333
12	0.00333333	0.0
13	0.306667	0.8
14	0.02	0.1
15	0.0833333	0.0566667
16	0.126667	0.38
17	0.01	0.0
18	0.03	0.513333
19	0.0166667	0.0
20	0.0833333	0.09
21	0.0433333	0.07
22	0.00333333	0.0
23	0.373333	0.953333
24	0.186667	0.653333
25	0.0666667	0.276667
26	0.116667	0.313333
27	0.333333	0.523333
28	0.0433333	0.0333333
29	0.0233333	0.133333
30	0.00666667	0.0
31	0.0233333	0.0
32	0.0833333	0.75
33	0.0433333	0.336667
34	0.113333	0.406667
35	0.113333	0.32
36	0.0966667	0.233333
37	0.0966667	0.536667
38	0.123333	0.17
39	0.373333	0.9
40	0.47	0.843333
41	0.186667	0.57
42	0.01	0.0
43	0.0233333	0.0
44	0.0133333	0.12
45	0.6	1.0
46	0.05	0.306667
47	0.13	0.453333
48	0.03	0.0
49	0.446667	0.95
50	0.0233333	0.0
51	0.256667	0.913333
52	0.206667	0.61
53	0.386667	0.996667
54	0.57	0.99
55	0.0266667	0.0
56	0.0466667	0.3
57	0.136667	0.613333
58	0.5	1.0
59	0.02	0.183333
60	0.09	0.246667
61	0.06	0.0
62	0.03	0.14
63	0.0166667	0.0
64	0.0866667	0.1
65	0.19	0.566667
66	0.316667	0.636667
67	0.00666667	0.14
68	0.06	0.0
69	0.0633333	0.0133333
70	0.0566667	0.223333
71	0.0166667	0.0
72	0.163333	0.34
73	0.126667	0.596667
74	0.01	0.0
75	0.0533333	0.0
76	0.02	0.0966667
77	0.2	0.683333
78	0.0266667	0.286667
79	0.01	0.0
80	0.123333	0.316667
81	0.13	0.616667
82	0.0533333	0.126667
83	0.01	0.0
84	0.0666667	0.196667
85	0.0266667	0.0633333
86	0.576667	0.996667
87	0.00666667	0.00666667
88	0.123333	0.476667
