Pos	F0_freq	F60_freq
1	0.233333	0.85
2	0.00333333	0.0
3	0.393333	0.8
4	0.43	0.966667
5	0.03	0.0
6	0.443333	0.996667
7	0.0666667	0.526667
8	0.123333	0.656667
9	0.216667	0.94
10	0.03	0.16
11	0.09	0.586667
12	0.00333333	0.0
13	0.306667	1.0
14	0.02	0.143333
15	0.0833333	0.8
16	0.126667	0.733333
17	0.01	0.0
18	0.03	0.0766667
19	0.0166667	0.0
20	0.0833333	0.65
21	0.0433333	0.443333
22	0.00333333	0.0
23	0.373333	0.896667
24	0.186667	0.896667
25	0.0666667	0.0
26	0.116667	0.603333
27	0.333333	0.89
28	0.0433333	0.0566667
29	0.0233333	0.03
30	0.00666667	0.91
31	0.0233333	0.0
32	0.0833333	0.92
33	0.0433333	0.243333
34	0.113333	0.503333
35	0.113333	0.873333
36	0.0966667	0.0766667
37	0.0966667	0.203333
38	0.123333	0.473333
39	0.373333	0.99
40	0.47	0.93
41	0.186667	0.35
42	0.01	0.0
43	0.0233333	0.283333
44	0.0133333	0.0
45	0.6	1.0
46	0.05	0.163333
47	0.13	0.21
48	0.03	0.386667
49	0.446667	0.87
50	0.0233333	0.656667
51	0.256667	0.883333
52	0.206667	0.643333
53	0.386667	0.92
54	0.57	0.926667
55	0.0266667	0.0
56	0.0466667	0.08
57	0.136667	0.516667
58	0.5	0.996667
59	0.02	0.13
60	0.09	0.776667
61	0.06	0.343333
62	0.03	0.07
63	0.0166667	0.0
64	0.0866667	0.623333
65	0.19	0.503333
66	0.316667	0.826667
67	0.00666667	0.0
68	0.06	0.656667
69	0.0633333	0.0
70	0.0566667	0.09
71	0.0166667	0.49
72	0.163333	0.873333
73	0.126667	0.13
74	0.01	0.0
75	0.0533333	0.556667
76	0.02	0.506667
77	0.2	0.943333
78	0.0266667	0.253333
79	0.01	0.0
80	0.123333	0.556667
81	0.13	0.536667
82	0.0533333	0.0
83	0.01	0.0
84	0.0666667	0.12
85	0.0266667	0.173333
86	0.576667	0.983333
87	0.00666667	0.57
88	0.123333	0.286667
