Pos	F0_freq	F60_freq
2245404	0.233333	0.673333
4528622	0.00333333	0.0
5049466	0.393333	0.976667
6628840	0.43	0.986667
7495139	0.03	0.0
8621469	0.443333	0.95
8689736	0.0666667	0.42
10711374	0.123333	0.73
12660942	0.216667	0.916667
13448522	0.03	0.72
15005929	0.09	0.236667
15727620	0.00333333	0.426667
18316355	0.306667	0.89
18547865	0.02	0.0
19868639	0.0833333	0.323333
22147473	0.126667	0.793333
22339426	0.01	0.0
24339303	0.03	0.0
25458768	0.0166667	0.0
25794376	0.0833333	0.293333
25828495	0.0433333	0.296667
27440095	0.00333333	0.0
27536515	0.373333	0.98
30206453	0.186667	0.446667
30540332	0.0666667	0.283333
30651125	0.116667	0.233333
32780587	0.333333	0.883333
33114896	0.0433333	0.666667
35499448	0.0233333	0.223333
36733417	0.00666667	0.0
36863533	0.0233333	0.0166667
39430346	0.0833333	0.0
40375992	0.0433333	0.516667
40537949	0.113333	0.803333
41165431	0.113333	0.513333
42195815	0.0966667	0.656667
43168208	0.0966667	0.256667
43693383	0.123333	0.32
45379878	0.373333	0.886667
45609340	0.47	0.99
46173716	0.186667	0.62
46866430	0.01	0.0
47048074	0.0233333	0.1
49220377	0.0133333	0.0
49613178	0.6	1.0
50752115	0.05	0.326667
51507954	0.13	0.496667
51822497	0.03	0.143333
52528589	0.446667	0.846667
53303741	0.0233333	0.0
53790973	0.256667	0.87
54026781	0.206667	0.503333
54894929	0.386667	0.766667
55616136	0.57	0.996667
57009090	0.0266667	0.0166667
57060100	0.0466667	0.33
58176785	0.136667	0.66
58460188	0.5	1.0
58860012	0.02	0.0433333
59703696	0.09	0.0533333
60519056	0.06	0.703333
62857097	0.03	0.0
63510033	0.0166667	0.166667
66004696	0.0866667	0.163333
66240084	0.19	0.593333
66859993	0.316667	0.986667
66937487	0.00666667	0.0
67630852	0.06	0.83
69416938	0.0633333	0.0266667
70451926	0.0566667	0.0
71039110	0.0166667	0.0
71321665	0.163333	0.4
71772768	0.126667	0.0733333
72264082	0.01	0.0
72352365	0.0533333	0.256667
73796809	0.02	0.0
74210131	0.2	0.663333
74235260	0.0266667	0.0566667
77707206	0.01	0.0
79182171	0.123333	0.676667
79454494	0.13	0.403333
80494647	0.0533333	0.193333
80639915	0.01	0.0
83251683	0.0666667	0.46
83588933	0.0266667	0.0
84255528	0.576667	1.0
85765789	0.00666667	0.0
88248840	0.123333	0.333333
