Pos	F0_freq	F60_freq
2245404	0.233333	0.576667
4528622	0.00333333	0.0
5049466	0.393333	0.88
6628840	0.43	0.916667
7495139	0.03	0.2
8621469	0.443333	0.926667
8689736	0.0666667	0.166667
10711374	0.123333	0.573333
12660942	0.216667	0.726667
13448522	0.03	0.13
15005929	0.09	0.44
15727620	0.00333333	0.0
18316355	0.306667	0.8
18547865	0.02	0.04
19868639	0.0833333	0.0
22147473	0.126667	0.0766667
22339426	0.01	0.16
24339303	0.03	0.0266667
25458768	0.0166667	0.443333
25794376	0.0833333	0.1
25828495	0.0433333	0.38
27440095	0.00333333	0.0
27536515	0.373333	0.976667
30206453	0.186667	0.663333
30540332	0.0666667	0.08
30651125	0.116667	0.0566667
32780587	0.333333	0.863333
33114896	0.0433333	0.283333
35499448	0.0233333	0.0
36733417	0.00666667	0.0
36863533	0.0233333	0.0166667
39430346	0.0833333	0.206667
40375992	0.0433333	0.233333
40537949	0.113333	0.35
41165431	0.113333	0.163333
42195815	0.0966667	0.246667
43168208	0.0966667	0.116667
43693383	0.123333	0.213333
45379878	0.373333	0.916667
45609340	0.47	0.86
46173716	0.186667	0.506667
46866430	0.01	0.0
47048074	0.0233333	0.19
49220377	0.0133333	0.00666667
49613178	0.6	1.0
50752115	0.05	0.0466667
51507954	0.13	0.413333
51822497	0.03	0.176667
52528589	0.446667	0.963333
53303741	0.0233333	0.0433333
53790973	0.256667	0.603333
54026781	0.206667	0.406667
54894929	0.386667	0.616667
55616136	0.57	0.983333
57009090	0.0266667	0.153333
57060100	0.0466667	0.0133333
58176785	0.136667	0.123333
58460188	0.5	1.0
58860012	0.02	0.0
59703696	0.09	0.0
60519056	0.06	0.333333
62857097	0.03	0.303333
63510033	0.0166667	0.253333
66004696	0.0866667	0.0533333
66240084	0.19	0.703333
66859993	0.316667	0.516667
66937487	0.00666667	0.0
67630852	0.06	0.0
69416938	0.0633333	0.0
70451926	0.0566667	0.286667
71039110	0.0166667	0.0
71321665	0.163333	0.666667
71772768	0.126667	0.206667
72264082	0.01	0.0
72352365	0.0533333	0.106667
73796809	0.02	0.0333333
74210131	0.2	0.39
74235260	0.0266667	0.0933333
77707206	0.01	0.0466667
79182171	0.123333	0.593333
79454494	0.13	0.353333
80494647	0.0533333	0.313333
80639915	0.01	0.0
83251683	0.0666667	0.343333
83588933	0.0266667	0.0
84255528	0.576667	0.996667
85765789	0.00666667	0.0
88248840	0.123333	0.0633333
